[14:46:11] INFO     Logs wurden geleert.
[15:45:45] SUCCESS  WeintCodex ist aktuell.
[15:53:26] SUCCESS  WeintCodex ist aktuell.
[15:57:43] SUCCESS  WeintCodex ist aktuell.
[20:08:16] SUCCESS  WeintCodex ist aktuell.
[20:09:18] INFO     Addon-Installation wird gestartet...
[20:09:18] INFO     Lade WeintCodex herunter...
[20:09:18] SUCCESS  Download abgeschlossen.
[20:09:18] INFO     Installiere WeintCodex...
[20:09:19] SUCCESS  Installation abgeschlossen.
[20:09:19] SUCCESS  WeintCodex ist aktuell.
[20:09:19] SUCCESS  Installation abgeschlossen.
[20:09:51] INFO     Neue Version gefunden (v0.9.6.1).
[20:10:21] INFO     Addon-Aktualisierung wird gestartet...
[20:10:21] INFO     Lade WeintCodex herunter...
[20:10:21] SUCCESS  Download abgeschlossen.
[20:10:21] INFO     Erstelle Backup...
[20:10:22] SUCCESS  Backup erstellt: WeintCodex_2026-06-28_20-10-21.zip
[20:10:22] INFO     Installiere WeintCodex...
[20:10:22] SUCCESS  Installation abgeschlossen.
[20:10:22] SUCCESS  WeintCodex ist aktuell.
[20:10:22] SUCCESS  Installation abgeschlossen.
[20:10:59] INFO     Prüfe Synchronisationsvoraussetzungen...
[20:10:59] SUCCESS  Prüfung abgeschlossen.
[20:11:01] INFO     Starte Synchronisationstest...
[20:11:01] SUCCESS  Synchronisationstest erfolgreich.
[20:12:28] SUCCESS  1 Download(s) gelöscht.
[20:12:30] SUCCESS  1 Backup(s) gelöscht.
[13:43:00] SUCCESS  WeintCodex ist aktuell.
[13:52:07] SUCCESS  WeintCodex ist aktuell.
[13:52:07] ERROR    Companion konnte nicht auf Updates geprüft werden.
[14:10:21] SUCCESS  WeintCodex ist aktuell.
[14:10:21] ERROR    Companion konnte nicht auf Updates geprüft werden.
[14:41:28] SUCCESS  WeintCodex ist aktuell.
[14:41:28] ERROR    Companion konnte nicht auf Updates geprüft werden.
[16:43:51] SUCCESS  WeintCodex ist aktuell.
[16:43:51] SUCCESS  Companion ist aktuell.
[16:44:04] INFO     Addon-Aktualisierung wird gestartet...
[16:44:04] INFO     Lade WeintCodex herunter...
[16:44:05] SUCCESS  Download abgeschlossen.
[16:44:05] INFO     Erstelle Backup...
[16:44:06] SUCCESS  Backup erstellt: WeintCodex_2026-06-29_16-44-05.zip
[16:44:06] INFO     Installiere WeintCodex...
[16:44:06] SUCCESS  Installation abgeschlossen.
[16:44:06] SUCCESS  WeintCodex ist aktuell.
[16:44:06] SUCCESS  Companion ist aktuell.
[16:44:06] SUCCESS  Installation abgeschlossen.
[16:44:06] INFO     Addon-Aktualisierung wird gestartet...
[16:44:06] INFO     Lade WeintCodex herunter...
[16:44:06] SUCCESS  Download abgeschlossen.
[16:44:06] INFO     Erstelle Backup...
[16:44:07] SUCCESS  Backup erstellt: WeintCodex_2026-06-29_16-44-06.zip
[16:44:07] INFO     Installiere WeintCodex...
[16:44:07] SUCCESS  Installation abgeschlossen.
[16:44:07] SUCCESS  WeintCodex ist aktuell.
[16:44:07] SUCCESS  Companion ist aktuell.
[16:44:07] SUCCESS  Installation abgeschlossen.
[16:44:19] SUCCESS  2 Backup(s) gelöscht.
[16:44:21] SUCCESS  1 Download(s) gelöscht.
